datetime,symbol,Open,High,Low,Close,Volume
2023-05-03 10:00:00,BMFBOVESPA:IBOV,101926.95,102331.07,101433.34,101797.09,0.0
2023-05-04 10:00:00,BMFBOVESPA:IBOV,101797.91,103320.81,101063.49,102174.34,0.0
2023-05-05 10:00:00,BMFBOVESPA:IBOV,102174.73,105305.64,102174.73,105148.48,0.0
2023-05-08 10:00:00,BMFBOVESPA:IBOV,105161.13,106715.75,105161.13,106042.15,0.0
2023-05-09 10:00:00,BMFBOVESPA:IBOV,106027.51,107731.1,105549.08,107113.66,0.0
2023-05-10 10:00:00,BMFBOVESPA:IBOV,107113.66,107744.37,106538.01,107448.21,0.0
2023-05-11 10:00:00,BMFBOVESPA:IBOV,107446.09,108666.85,106419.28,108256.4,0.0
2023-05-12 10:00:00,BMFBOVESPA:IBOV,108255.65,108816.78,107496.89,108463.84,0.0
2023-05-15 10:00:00,BMFBOVESPA:IBOV,108469.09,109270.58,108356.35,109029.12,0.0
2023-05-16 10:00:00,BMFBOVESPA:IBOV,109029.12,110151.03,108085.2,108193.68,0.0
2023-05-17 10:00:00,BMFBOVESPA:IBOV,108194.11,109773.75,108188.17,109459.95,0.0
2023-05-18 10:00:00,BMFBOVESPA:IBOV,109459.33,110205.74,108864.44,110108.46,0.0
2023-05-19 10:00:00,BMFBOVESPA:IBOV,110113.0,111211.29,109786.92,110744.51,0.0
2023-05-22 10:00:00,BMFBOVESPA:IBOV,110744.91,111643.3,110178.19,110213.12,0.0
2023-05-23 10:00:00,BMFBOVESPA:IBOV,110212.54,111324.7,109713.06,109928.53,0.0
2023-05-24 10:00:00,BMFBOVESPA:IBOV,109919.92,109919.92,108546.09,108799.54,0.0
2023-05-25 10:00:00,BMFBOVESPA:IBOV,108799.6,111114.53,108799.6,110054.38,0.0
2023-05-26 10:00:00,BMFBOVESPA:IBOV,110057.62,111705.53,109900.4,110905.51,0.0
2023-05-29 10:00:00,BMFBOVESPA:IBOV,110905.81,111168.05,110195.11,110333.4,0.0
2023-05-30 10:00:00,BMFBOVESPA:IBOV,110333.4,111290.69,108551.51,108967.03,0.0
2023-05-31 10:00:00,BMFBOVESPA:IBOV,108967.03,109136.79,108193.41,108335.07,0.0
2023-06-01 10:00:00,BMFBOVESPA:IBOV,108339.14,110745.4,108334.59,110564.66,0.0
2023-06-02 10:00:00,BMFBOVESPA:IBOV,110568.4,113069.55,110567.44,112558.15,0.0
2023-06-05 10:00:00,BMFBOVESPA:IBOV,112558.15,113071.2,111736.44,112696.32,0.0
2023-06-06 10:00:00,BMFBOVESPA:IBOV,112697.26,114782.66,112695.6,114610.1,0.0
2023-06-07 10:00:00,BMFBOVESPA:IBOV,114610.22,115978.12,114610.22,115488.16,0.0
2023-06-09 10:00:00,BMFBOVESPA:IBOV,115488.91,117602.97,115488.91,117019.48,0.0
2023-06-12 10:00:00,BMFBOVESPA:IBOV,117021.59,117734.99,116704.14,117336.34,0.0
2023-06-13 10:00:00,BMFBOVESPA:IBOV,117337.35,117924.06,116363.43,116742.71,0.0
2023-06-14 10:00:00,BMFBOVESPA:IBOV,116753.31,119084.5,116744.58,119068.77,0.0
2023-06-15 10:00:00,BMFBOVESPA:IBOV,119068.45,119686.12,118692.8,119221.0,0.0
2023-06-16 10:00:00,BMFBOVESPA:IBOV,119208.35,119554.92,118487.3,118758.42,0.0
2023-06-19 10:00:00,BMFBOVESPA:IBOV,118756.79,119939.0,118557.81,119857.76,0.0
2023-06-20 10:00:00,BMFBOVESPA:IBOV,119857.76,119857.76,118415.66,119622.4,0.0
2023-06-21 10:00:00,BMFBOVESPA:IBOV,119623.1,120518.52,119332.0,120420.26,0.0
2023-06-22 10:00:00,BMFBOVESPA:IBOV,120419.87,120419.87,118018.03,118934.2,0.0
2023-06-23 10:00:00,BMFBOVESPA:IBOV,118959.01,119386.09,118178.09,118977.1,0.0
2023-06-26 10:00:00,BMFBOVESPA:IBOV,118977.38,119147.99,117490.8,118242.95,0.0
2023-06-27 10:00:00,BMFBOVESPA:IBOV,118246.17,119211.58,116561.04,117522.87,0.0
2023-06-28 10:00:00,BMFBOVESPA:IBOV,117524.21,117936.71,116559.7,116681.32,0.0
2023-06-29 10:00:00,BMFBOVESPA:IBOV,116682.51,118622.75,116682.51,118382.65,0.0
2023-06-30 10:00:00,BMFBOVESPA:IBOV,118387.53,119447.25,118087.0,118087.0,0.0
2023-07-03 10:00:00,BMFBOVESPA:IBOV,118092.02,119877.04,118092.02,119672.78,0.0
2023-07-04 10:00:00,BMFBOVESPA:IBOV,119672.95,119677.86,118830.47,119076.37,0.0
2023-07-05 10:00:00,BMFBOVESPA:IBOV,119072.03,120199.87,118688.39,119549.21,0.0
2023-07-06 10:00:00,BMFBOVESPA:IBOV,119548.02,119548.02,117095.88,117425.7,0.0
2023-07-07 10:00:00,BMFBOVESPA:IBOV,117426.95,119548.71,117426.95,118897.99,0.0
2023-07-10 10:00:00,BMFBOVESPA:IBOV,118897.42,118897.42,117814.49,117942.44,0.0
2023-07-11 10:00:00,BMFBOVESPA:IBOV,117941.81,117941.81,115703.93,117219.95,0.0
2023-07-12 10:00:00,BMFBOVESPA:IBOV,117557.13,119156.48,117557.13,117666.49,0.0
